January,February,March,April,May,June,July,August,September,October,November,December
2.25999999,1.25,1.279999971,1.419999957,0.919999957,0.419999987,0.370000005,0.340000004,2.440000057,2.169999838,0.629999995,2.039999962
2.230000019,1.189999938,1.279999971,1.389999986,0.889999986,0.409999996,0.359999985,0.329999983,2.339999914,2.079999924,0.649999976,2.069999933
2.200000048,1.120000005,1.309999943,1.350000024,0.849999964,0.399999976,0.359999985,0.310000002,2.24000001,1.99000001,0.689999998,2.099999905
2.24000001,1.129999995,1.339999914,1.25999999,0.819999993,0.389999986,0.359999985,0.289999992,2.169999838,1.829999924,0.74000001,2.129999876
2.309999943,1.169999957,1.389999986,1.159999967,0.789999962,0.379999995,0.359999985,0.280000001,2.119999886,1.679999948,0.799999952,2.139999866
2.389999866,1.220000029,1.459999919,1.049999952,0.75999999,0.379999995,0.379999995,0.25999999,2.089999914,1.559999943,0.859999955,2.149999857
2.440000057,1.289999962,1.459999919,0.979999959,0.74000001,0.379999995,0.439999998,0.239999995,2.059999943,1.469999909,0.889999986,2.159999847
2.50999999,1.370000005,1.409999967,0.930000007,0.709999979,0.370000005,0.539999962,0.229999989,2.049999952,1.399999976,0.889999986,2.169999838
2.579999924,1.449999928,1.339999914,0.919999957,0.680000007,0.370000005,0.659999967,0.219999999,2.039999962,1.329999924,0.889999986,2.180000067
2.569999933,1.5,1.319999933,0.909999967,0.659999967,0.359999985,0.729999959,0.209999993,2.029999971,1.269999981,0.879999995,2.180000067
2.539999962,1.559999943,1.329999924,0.909999967,0.629999995,0.349999994,1.029999971,0.209999993,2.029999971,1.209999919,0.870000005,2.190000057
2.49000001,1.599999905,1.350000024,0.930000007,0.610000014,0.349999994,1.24000001,0.199999988,2.029999971,1.159999967,0.849999964,2.180000067
2.579999924,1.620000005,1.350000024,0.979999959,0.579999983,0.340000004,1.439999938,0.199999988,2.019999981,1.100000024,0.799999952,2.169999838
2.710000038,1.620000005,1.360000014,1.069999933,0.560000002,0.340000004,1.519999981,0.219999999,2.019999981,1.049999952,0.729999959,2.169999838
2.869999886,1.620000005,1.370000005,1.159999967,0.539999962,0.329999983,1.559999943,0.310000002,2.029999971,1,0.649999976,2.159999847
